"filename", "language", "JavaScript", "SCSS", "Markdown", "JSON", "HTML", "Log", "comment", "blank", "total"
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Components/PersonalInfo/PersonalInfoSideNav.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Components/PersonalInfo/PersonalInfoSideNav.scss", "SCSS", 0, 3, 0, 0, 0, 0, 1, 1, 5
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Components/Routing/PrivateRoute.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Components/Settings/Settings.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 4, 122
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Components/Settings/Settings.scss", "SCSS", 0, 13, 0, 0, 0, 0, 0, 2, 15
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Components/auth/Login.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 6, 119
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Components/auth/Login.scss", "SCSS", 0, 57, 0, 0, 0, 0, 3, 12, 72
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Components/auth/Register.js", "JavaScript", 185, 0, 0, 0, 0, 0, 3, 20, 208
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Components/auth/Register.scss", "SCSS", 0, 44, 0, 0, 0, 0, 3, 10, 57
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Reducers/auth.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/michaelvolakis/Documents/UNI/6th Semester/Web Applications Technologies.nosync/WorkNet/client/src/Reducers/personalInfo.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 4, 37
